episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12008223,42,0,Monza,17584.10618132353,0.9952864373697013,949,1.0,94.9,0.0,0.0
2,12008415,42,1,Melbourne,16256.569357529283,0.9962322410945493,1013,1.0,101.30000000000001,0.0,0.0
3,12008511,42,2,Silverstone,17742.750835407525,0.9957165522467489,1045,1.0,104.5,0.0,0.0
4,12011085,42,0,Monza,17639.670764371753,0.9963013354152447,954,1.0,95.4,0.0,0.0
5,12011484,42,1,Melbourne,16209.296564176679,0.9963202448550283,1023,1.0,102.30000000000001,0.0,0.0
6,12011652,42,2,Silverstone,17816.734555087984,0.9952827496877948,1047,1.0,104.7,0.0,0.0
7,12013908,42,0,Monza,17491.259894669056,0.9952344907809141,941,1.0,94.10000000000001,0.0,0.0
8,12014502,42,1,Melbourne,16146.946943350136,0.9959563423941575,1006,1.0,100.60000000000001,0.0,0.0
9,12014844,42,2,Silverstone,17848.086960323155,0.9950860869980663,1064,1.0,106.4,0.0,0.0
10,12016752,42,0,Monza,17621.14102295786,0.9955406889365741,948,1.0,94.80000000000001,0.0,0.0
11,12017535,42,1,Melbourne,16123.631821833551,0.9952497320953585,1011,1.0,101.10000000000001,0.0,0.0
12,12017976,42,2,Silverstone,17929.812949612737,0.9955454366293259,1044,1.0,104.4,0.0,0.0
13,12019566,42,0,Monza,17561.871689766645,0.9962126214356924,938,1.0,93.80000000000001,0.0,0.0
14,12020553,42,1,Melbourne,16189.188302703202,0.9964788359249596,1006,1.0,100.60000000000001,0.0,0.0
15,12020844,42,1,Melbourne,479.8375396132469,0.07451346360777268,97,0.0,nan,1.0,0.0
16,12021135,42,2,Silverstone,17777.243785331026,0.9950547337729642,1053,1.0,105.30000000000001,0.0,0.0
17,12022356,42,0,Monza,17251.617722943425,0.995582684717769,930,1.0,93.0,0.0,0.0
18,12023889,42,1,Melbourne,16004.142496019602,0.9952512986544455,1015,1.0,101.5,0.0,0.0
19,12024261,42,2,Silverstone,17658.21344142407,0.9952513964626927,1042,1.0,104.2,0.0,0.0
20,12025170,42,0,Monza,17437.55910976976,0.9959250599620486,938,1.0,93.80000000000001,0.0,0.0
21,12025662,42,0,Monza,2142.7432915344834,0.16029779140982198,164,0.0,nan,1.0,0.0
22,12026904,42,1,Melbourne,16051.472154736519,0.9964523887215486,1005,1.0,100.5,0.0,0.0
23,12027459,42,2,Silverstone,17782.06199710816,0.9951346098464389,1066,1.0,106.60000000000001,0.0,0.0
24,12028452,42,0,Monza,17459.412962444127,0.9959208435181536,930,1.0,93.0,0.0,0.0
25,12029883,42,1,Melbourne,16060.173364274204,0.9961649712043402,993,1.0,99.30000000000001,0.0,0.0
26,12030615,42,2,Silverstone,17692.49486221373,0.9956079771894505,1052,1.0,105.2,0.0,0.0
27,12031266,42,0,Monza,17578.493516027927,0.9957065638394061,938,1.0,93.80000000000001,0.0,0.0
28,12032370,42,0,Monza,5439.786212056875,0.37259694321310227,368,0.0,nan,1.0,0.0
29,12032898,42,1,Melbourne,16178.293734028935,0.9950846904880098,1005,1.0,100.5,0.0,0.0
30,12033756,42,2,Silverstone,17680.138116769493,0.9956834571758076,1047,1.0,104.7,0.0,0.0
31,12034416,42,1,Melbourne,6854.717619158328,0.4862774492252859,506,0.0,nan,1.0,0.0
32,12035199,42,0,Monza,17451.344755619764,0.9956907100103607,943,1.0,94.30000000000001,0.0,0.0
33,12035532,42,0,Monza,1152.5969038829207,0.09769405634889353,111,0.0,nan,1.0,0.0
34,12036930,42,2,Silverstone,17870.62981195748,0.9955120927232648,1058,1.0,105.80000000000001,0.0,0.0
35,12037431,42,1,Melbourne,16159.65175204724,0.9954549513357634,1005,1.0,100.5,0.0,0.0
36,12037569,42,0,Monza,10921.026147885248,0.6877119922579343,679,0.0,nan,1.0,0.0
37,12040116,42,2,Silverstone,17909.548806510866,0.9951518624147491,1062,1.0,106.2,0.0,0.0
38,12040398,42,0,Monza,17515.624017044902,0.9958561632688032,943,1.0,94.30000000000001,0.0,0.0
39,12040434,42,1,Melbourne,16249.367057085037,0.9954271218743345,1001,1.0,100.10000000000001,0.0,0.0
40,12043236,42,0,Monza,17669.923578202724,0.99512857371027,946,1.0,94.60000000000001,0.0,0.0
41,12043278,42,2,Silverstone,17968.904992446303,0.9952741234036397,1054,1.0,105.4,0.0,0.0
42,12043473,42,1,Melbourne,16328.500490941107,0.9963885284011172,1013,1.0,101.30000000000001,0.0,0.0
43,12043752,42,0,Monza,2222.9243300259113,0.16112114695032204,172,0.0,nan,1.0,0.0
44,12046485,42,2,Silverstone,18023.693155273795,0.9959133808265572,1069,1.0,106.9,0.0,0.0
45,12046497,42,1,Melbourne,16298.043411545455,0.99591146508384,1008,1.0,100.80000000000001,0.0,0.0
