episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,1587,2,Silverstone,-913.4084750214824,0.009765285443742692,529,0.0,nan,1.0,0.0
2,2292,1,Melbourne,-1287.8606814028635,0.010712453564193767,764,0.0,nan,1.0,0.0
3,3123,2,Silverstone,-964.4701904678368,0.006981691375441102,512,0.0,nan,1.0,0.0
4,3276,0,Monza,-1624.1014690009179,0.015685761591805392,1092,0.0,nan,1.0,0.0
5,3564,1,Melbourne,-1042.0314496867359,0.005432032115567091,424,0.0,nan,1.0,0.0
6,4254,1,Melbourne,-797.8751697968692,0.0027570518426927714,230,0.0,nan,1.0,0.0
7,6012,2,Silverstone,-1289.0239294690546,0.015649240687926256,963,0.0,nan,1.0,0.0
8,6519,0,Monza,-1473.09442991158,0.015666745429838626,1081,0.0,nan,1.0,0.0
9,6690,1,Melbourne,-1347.0679098074324,0.015947824920250625,812,0.0,nan,1.0,0.0
10,6900,2,Silverstone,-802.3971511512063,0.004184162540427413,296,0.0,nan,1.0,0.0
11,7701,2,Silverstone,-713.7997671253979,0.005088056113314868,267,0.0,nan,1.0,0.0
12,8802,0,Monza,-1179.30654973106,0.011804019013126128,761,0.0,nan,1.0,0.0
13,9996,0,Monza,-994.1324963015504,0.005346158343153431,398,0.0,nan,1.0,0.0
14,10434,2,Silverstone,-1358.3364323684364,0.016098305134231616,911,0.0,nan,1.0,0.0
15,10632,0,Monza,-719.7099425820634,0.004017216921027861,212,0.0,nan,1.0,0.0
16,11190,0,Monza,-641.5488684866577,0.00362372256507533,186,0.0,nan,1.0,0.0
17,11223,1,Melbourne,-1870.8569127114024,0.031176460993738463,1511,0.0,nan,1.0,0.0
18,11499,0,Monza,-530.845703706611,0.0033422696645245445,103,0.0,nan,1.0,0.0
19,11997,2,Silverstone,-871.9744490175508,0.010269923066816542,521,0.0,nan,1.0,0.0
20,12633,1,Melbourne,-871.5303259141365,0.011717677670146977,470,0.0,nan,1.0,0.0
21,12738,0,Monza,-848.8982898566173,0.007112381891081833,413,0.0,nan,1.0,0.0
22,13926,1,Melbourne,-943.6006211698405,0.007199035893462555,431,0.0,nan,1.0,0.0
23,14664,0,Monza,-953.6904999422841,0.012518748417779429,642,0.0,nan,1.0,0.0
24,15498,0,Monza,-767.584890902508,0.004494012396682367,278,0.0,nan,1.0,0.0
25,16023,0,Monza,-604.7590508740395,0.004095516284159309,175,0.0,nan,1.0,0.0
26,16239,2,Silverstone,-1744.8820361040707,0.022855339868960108,1414,0.0,nan,1.0,0.0
27,17538,2,Silverstone,-867.3424315369048,0.009995084676932386,433,0.0,nan,1.0,0.0
28,19251,0,Monza,-1506.2339713069377,0.020164826694879737,1076,0.0,nan,1.0,0.0
29,19767,2,Silverstone,-1229.874999214284,0.013251880198165655,743,0.0,nan,1.0,0.0
30,20463,0,Monza,-788.8140638074838,0.01007266282093252,404,0.0,nan,1.0,0.0
31,21621,2,Silverstone,-993.2624677558051,0.010058330269896524,618,0.0,nan,1.0,0.0
32,21834,0,Monza,-904.0151692447253,0.007655291207011036,457,0.0,nan,1.0,0.0
33,22803,2,Silverstone,-891.5159118382144,0.007278261365792934,394,0.0,nan,1.0,0.0
34,23478,2,Silverstone,-589.8084221917961,0.007742007084169973,225,0.0,nan,1.0,0.0
35,23961,0,Monza,-1254.5173060452798,0.011694096320781654,709,0.0,nan,1.0,0.0
36,25314,0,Monza,-885.7238036001218,0.009863632614834427,451,0.0,nan,1.0,0.0
37,26247,0,Monza,-777.9002683749422,0.006433176026244496,311,0.0,nan,1.0,0.0
38,26658,0,Monza,-532.3257314376533,0.0046193251092438445,137,0.0,nan,1.0,0.0
39,27003,0,Monza,-527.9998114742339,0.0038039913532541755,115,0.0,nan,1.0,0.0
40,27666,1,Melbourne,-4791.833962248231,0.0864086923203311,4580,0.0,nan,1.0,0.0
41,28422,2,Silverstone,-1992.2196848246967,0.03014297402426773,1648,0.0,nan,1.0,0.0
42,28539,1,Melbourne,-737.1010899324901,0.006838260791357459,291,0.0,nan,1.0,0.0
43,29214,0,Monza,-906.7469098765869,0.02019486885763211,737,0.0,nan,1.0,0.0
44,29637,2,Silverstone,-902.7001845131745,0.006536898598693317,405,0.0,nan,1.0,0.0
45,31509,0,Monza,-1109.6609560559154,0.014761000575628921,765,0.0,nan,1.0,0.0
46,32037,0,Monza,-669.2769084165338,0.004164497306282653,176,0.0,nan,1.0,0.0
47,33279,2,Silverstone,-1207.3250380498212,0.035711530754030135,1214,0.0,nan,1.0,0.0
48,34443,1,Melbourne,-2282.0575814847252,0.04628565845565472,1968,0.0,nan,1.0,0.0
49,35202,1,Melbourne,-662.3042106740177,0.010633312093403045,253,0.0,nan,1.0,0.0
50,37146,0,Monza,-2136.8516113451915,0.03585558477270079,1703,0.0,nan,1.0,0.0
51,37392,2,Silverstone,-1518.7582464906154,0.03925898643151859,1371,0.0,nan,1.0,0.0
52,37692,0,Monza,-433.05130574433133,0.010835164534916963,182,0.0,nan,1.0,0.0
53,38109,0,Monza,-643.7463437491097,0.0031403020019506954,139,0.0,nan,1.0,0.0
54,38427,0,Monza,-395.9215899053961,0.009127610168511024,106,0.0,nan,1.0,0.0
55,38637,2,Silverstone,-555.7622548937798,0.019350746040867353,415,0.0,nan,1.0,0.0
56,38754,0,Monza,-481.961886822246,0.005813632842522398,109,0.0,nan,1.0,0.0
57,39210,0,Monza,-498.09394103707746,0.009322473123121679,152,0.0,nan,1.0,0.0
58,39624,2,Silverstone,-438.2904722177773,0.01787718593358292,329,0.0,nan,1.0,0.0
59,39714,1,Melbourne,-1930.488414356776,0.028582146995030967,1504,0.0,nan,1.0,0.0
60,39951,0,Monza,-585.5482359882444,0.009058102090900796,247,0.0,nan,1.0,0.0
61,39990,1,Melbourne,-504.9803830512101,0.005307532423856704,92,0.0,nan,1.0,0.0
62,40200,2,Silverstone,-419.1984198503196,0.011970006078212529,192,0.0,nan,1.0,0.0
63,40557,2,Silverstone,-575.5239806128666,0.004254790241947364,119,0.0,nan,1.0,0.0
64,40791,2,Silverstone,-482.64481223002076,0.004309658385876251,78,0.0,nan,1.0,0.0
65,41388,1,Melbourne,-553.06694627041,0.02708547256959646,466,0.0,nan,1.0,0.0
66,41397,0,Monza,-764.9274132549763,0.015924918289533758,482,0.0,nan,1.0,0.0
67,42171,0,Monza,-620.5662250621244,0.010337160346470255,258,0.0,nan,1.0,0.0
68,43416,1,Melbourne,-857.7128254373092,0.029191642149249034,676,0.0,nan,1.0,0.0
69,45246,1,Melbourne,-1073.6476394992787,0.014314733147256831,610,0.0,nan,1.0,0.0
70,46056,1,Melbourne,-410.48671809525695,0.020731612581828523,270,0.0,nan,1.0,0.0
71,46752,1,Melbourne,-298.229443774675,0.023547226089217013,232,0.0,nan,1.0,0.0
72,47496,0,Monza,-740.2363463230286,0.08629737743936036,1775,0.0,nan,1.0,0.0
73,48447,0,Monza,-782.4916094274959,0.009379437280144074,317,0.0,nan,1.0,0.0
74,48642,0,Monza,-377.9768585637212,0.009453456952722027,65,0.0,nan,1.0,0.0
75,48648,1,Melbourne,-464.13325223280117,0.03330472366404532,632,0.0,nan,1.0,0.0
76,49194,1,Melbourne,-462.54079096671194,0.011717723745414244,182,0.0,nan,1.0,0.0
77,49257,2,Silverstone,-968.3197150985652,0.14584359086994084,2822,0.0,nan,1.0,0.0
78,49746,1,Melbourne,-319.9901753971353,0.022937189550608566,184,0.0,nan,1.0,0.0
79,52011,2,Silverstone,3.9545235419354867,0.0716688276614409,918,0.0,nan,1.0,0.0
80,52413,0,Monza,-241.3671393864788,0.08839517422936477,1257,0.0,nan,1.0,0.0
81,52872,1,Melbourne,172.74859707336873,0.09857484360441655,1042,0.0,nan,1.0,0.0
82,52947,0,Monza,-415.5827945061028,0.01480148897813133,178,0.0,nan,1.0,0.0
83,53193,2,Silverstone,-420.77456768008415,0.024575775519534552,394,0.0,nan,1.0,0.0
84,53592,0,Monza,-250.49963152315468,0.022103877007512186,215,0.0,nan,1.0,0.0
85,53655,1,Melbourne,-312.6641167651396,0.022973128259076436,261,0.0,nan,1.0,0.0
86,53745,0,Monza,-453.98079276736826,0.0045189315801022305,51,0.0,nan,1.0,0.0
87,54114,0,Monza,-444.4415663247928,0.007974981983135237,123,0.0,nan,1.0,0.0
88,54504,0,Monza,-556.2327545322478,0.004635389760484061,130,0.0,nan,1.0,0.0
89,54594,0,Monza,-464.7217108719051,0.003099381413949042,30,0.0,nan,1.0,0.0
90,54672,1,Melbourne,110.23039322253317,0.0544985172518241,339,0.0,nan,1.0,0.0
91,55638,0,Monza,-567.2072805843782,0.015565508611917998,348,0.0,nan,1.0,0.0
92,56118,2,Silverstone,92.85392069385853,0.08568181154621499,975,0.0,nan,1.0,0.0
93,57021,1,Melbourne,133.2477946007857,0.08396945615242583,783,0.0,nan,1.0,0.0
94,58758,1,Melbourne,-60.288892320822924,0.055657079847240214,579,0.0,nan,1.0,0.0
95,59232,0,Monza,567.3085440080613,0.13333382244082517,1198,0.0,nan,1.0,0.0
96,59532,0,Monza,-295.9603768887464,0.015083569074711506,100,0.0,nan,1.0,0.0
97,60615,1,Melbourne,-260.07228873841814,0.08517236043317755,619,0.0,nan,1.0,0.0
98,60786,2,Silverstone,849.3288319137646,0.15950398575800487,1556,0.0,nan,1.0,0.0
99,60801,1,Melbourne,-332.10252821445465,0.012930747306739364,62,0.0,nan,1.0,0.0
100,61017,1,Melbourne,-514.5434186151251,0.0038783856221575592,72,0.0,nan,1.0,0.0
101,61104,2,Silverstone,-402.32281492231414,0.021933239859802976,106,0.0,nan,1.0,0.0
102,61242,1,Melbourne,-382.941031323513,0.01003924783416295,75,0.0,nan,1.0,0.0
103,61431,1,Melbourne,-447.6834250167012,0.006120408127345404,63,0.0,nan,1.0,0.0
104,62238,2,Silverstone,-254.36337257456034,0.03238294630071757,378,0.0,nan,1.0,0.0
