Nome Modello,seed,Pre fine tune,track_name,track_length_km,episodes,completion_rate,off_track_rate,stalled_rate,best_lap_time,best_time_per_km,mean_progress_ratio,mean_reward,mean_speed_kmh,mean_abs_steering_delta
ppo_f1_64_64_32_16_multitrack,42,True,Monza,5.7902021484375,1,1.0,0.0,0.0,92.2,15.923450967058272,0.9962532679548409,18245.138269657557,224.39235974776798,0.01518977633849142
ppo_f1_64_64_32_16_multitrack,42,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.5,18.023170146101908,0.9960887627122814,16532.970737938223,197.82138985655234,0.024795701233816397
ppo_f1_64_64_32_16multitrack,42,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,99.2,16.85124702890867,0.9955042129444693,18383.126739176736,211.24371617936959,0.017291631076424833
ppo_f1_64_64_32_16_multitrack,42,True,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.8983594248798683,11745.870860643947,188.40975668068072,0.02568111496435605
ppo_f1_64_64_32_16_multitrack,42,True,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.05063762795231033,539.2814387454466,139.2317410862446,0.032622883825198463
ppo_f1_128_128_64_32_multitrack,42,True,Monza,5.7902021484375,1,0.0,1.0,0.0,,,0.173047931826856285,2446.505409357742,180.6805665036902,0.025142976686583093
ppo_f1_128_128_64_32_multitrack,42,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,93.7,17.683466415599465,0.9955094123016724,16598.000247514956,201.71197602032422,0.02292003098521441
ppo_f1_128_128_64_32_multitrack,42,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,98.60000000000001,16.749324163814464,0.9951915101438467,18282.593964138166,213.51385288961964,0.01777032897835994
ppo_f1_128_128_64_32_multitrack,42,True,Catalunya,4.64984375,1,1.0,0.0,0.0,86.0,18.495245135925266,0.9962897778823213,14465.37625638972,194.0405543141291,0.022630463969395605
ppo_f1_128_128_64_32_multitrack,42,True,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.05142120037781536,566.5346171986364,141.1518869902129,0.021991846799526527
ppo_f1_256_256_128_64_32_multitrack,42,True,Monza,5.7902021484375,1,1.0,0.0,0.0,88.80000000000001,15.336252124455257,0.9954811527487757,18177.816508607837,232.92675869873267,0.01616651239083358
ppo_f1_256_256_128_64_32_multitrack,42,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.2,17.966552857684835,0.9959470351901697,16547.18592142256,198.95142251542376,0.024676320947190168
ppo_f1_256_256_128_64_32_multitrack,42,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,99.7,16.936182749820507,0.9950378129848138,18370.626142880337,211.6647022148638,0.01992030308554799
ppo_f1_256_256_128_64_32_multitrack,42,True,Catalunya,4.64984375,1,1.0,0.0,0.0,86.80000000000001,18.667293927887364,0.9950690337376928,14658.89124070358,191.28432517401382,0.025603818765107526
ppo_f1_256_256_128_64_32_multitrack,42,True,Spa,7.00005029296875,1,1.0,0.0,0.0,116.2,16.599880734673853,0.9955257017893915,21702.928069304282,216.2850732424462,0.018112049569502447
ppo_f1_512_512_256_128_32_16_multitrack,42,True,Monza,5.7902021484375,1,0.0,1.0,0.0,,,0.16438823742019748,2306.525342110084,187.1431480385437,0.02475795947788843
ppo_f1_512_512_256_128_32_16_multitrack,42,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,98.60000000000001,18.608215459745008,0.9951057008098834,16497.317371804056,191.46177689563632,0.031945069741767515
ppo_f1_512_512_256_128_32_16_multitrack,42,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,104.9,17.819514247303623,0.9957048569961156,18381.96598833657,200.76851154677948,0.022952588003402215
ppo_f1_512_512_256_128_32_16_multitrack,42,True,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.8695222978762728,11236.312773887043,188.0922619544634,0.029970983721951183
ppo_f1_512_512_256_128_32_16_multitrack,42,True,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.9667277781137593,19339.980222934344,201.96482852619826,0.021401332285449638
ppo_f1_64_64_32_16_multitrack,43,True,Monza,5.7902021484375,1,1.0,0.0,0.0,92.9,16.04434484641772,0.9951491499564779,18202.953142765375,222.64539097596418,0.013502954490346468
ppo_f1_64_64_32_16_multitrack,43,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,96.4,18.193022011353133,0.9959322911046444,16665.923684652324,196.14766679686485,0.0236585169134051
ppo_f1_64_64_32_16_multitrack,43,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,101.2,17.190989912556024,0.9952372128608606,18425.303179396004,207.9896106287509,0.016453347533293392
ppo_f1_64_64_32_16_multitrack,43,True,Catalunya,4.64984375,1,1.0,0.0,0.0,88.30000000000001,18.989885412816296,0.9957178920662657,14670.645106596274,188.13158355092773,0.022543923509552956
ppo_f1_64_64_32_16_multitrack,43,True,Spa,7.00005029296875,1,1.0,0.0,0.0,120.7,17.242733258822152,0.995840640932895,21775.06971206979,207.9483715156299,0.0168850688447415
ppo_f1_128_128_64_32_multitrack,43,True,Monza,5.7902021484375,1,1.0,0.0,0.0,86.7,14.973570486376921,0.9951913143954285,18021.241983920787,238.3977878281886,0.014241228368608099
ppo_f1_128_128_64_32_multitrack,43,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,91.80000000000001,17.324890255624666,0.9959318303519717,16407.976935484126,205.70136691959496,0.02629125494956828
ppo_f1_128_128_64_32_multitrack,43,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,96.9,16.460542712714215,0.9954199407838771,18107.86573411269,216.90578208094217,0.018112422958841995
ppo_f1_128_128_64_32_multitrack,43,True,Catalunya,4.64984375,1,1.0,0.0,0.0,84.4,18.151147552001078,0.9967645292180517,14410.659178033988,196.48688664026326,0.024990233379306923
ppo_f1_128_128_64_32_multitrack,43,True,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.9667436820173516,19349.29324364219,229.36176826494614,0.015588861507943497
ppo_f1_256_256_128_64_32_multitrack,43,True,Monza,5.7902021484375,1,1.0,0.0,0.0,95.10000000000001,16.42429703869026,0.9953121576774613,18165.73250921875,217.72662675999354,0.016490671623079056
ppo_f1_256_256_128_64_32_multitrack,43,True,Melbourne,5.29873486328125,1,1.0,0.0,0.0,96.80000000000001,18.268511729242565,0.9951732471516961,16540.696892346463,195.09400940038194,0.026701626868164244
ppo_f1_256_256_128_64_32_multitrack,43,True,Silverstone,5.8868046875,1,1.0,0.0,0.0,101.5,17.241951345103125,0.9955605326265974,18310.65621771476,207.29338281694288,0.017580552178944272
