episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12006843,44,0,Monza,7899.507648333907,0.4972150704306355,489,0.0,nan,1.0,0.0
2,12007074,44,0,Monza,163.63328943401575,0.04064275597229763,77,0.0,nan,1.0,0.0
3,12008118,44,0,Monza,5299.6788578256965,0.3449981991568124,348,0.0,nan,1.0,0.0
4,12008340,44,1,Melbourne,16171.42418705672,0.9950156697376447,988,1.0,98.80000000000001,0.0,0.0
5,12008553,44,2,Silverstone,17825.317776605487,0.9950360711389747,1059,1.0,105.9,0.0,0.0
6,12010809,44,0,Monza,14546.416002452374,0.9057980973549911,897,0.0,nan,1.0,0.0
7,12011316,44,1,Melbourne,16154.498188452795,0.9957796437441905,992,1.0,99.2,0.0,0.0
8,12011805,44,2,Silverstone,17747.237558523193,0.9961447974880261,1084,1.0,108.4,0.0,0.0
9,12012162,44,2,Silverstone,1233.8514233082533,0.09993643506863205,119,0.0,nan,1.0,0.0
10,12012273,44,0,Monza,7888.300991244614,0.49868222424836406,488,0.0,nan,1.0,0.0
11,12014304,44,1,Melbourne,16221.595887348056,0.9963400572199529,996,1.0,99.60000000000001,0.0,0.0
12,12014481,44,0,Monza,12077.594111204147,0.7581785835177184,736,0.0,nan,1.0,0.0
13,12014811,44,0,Monza,746.2736911848187,0.07554049645591025,110,0.0,nan,1.0,0.0
14,12015324,44,2,Silverstone,17801.903475925326,0.99532659650954,1054,1.0,105.4,0.0,0.0
15,12015426,44,0,Monza,2738.6166214868426,0.1946527754235966,205,0.0,nan,1.0,0.0
16,12016596,44,1,Melbourne,10986.439117312431,0.7548886319322429,764,0.0,nan,1.0,0.0
17,12017214,44,0,Monza,9895.545511499047,0.6290558079237775,596,0.0,nan,1.0,0.0
18,12017535,44,0,Monza,730.6277905404568,0.07751055080755863,107,0.0,nan,1.0,0.0
19,12018090,44,0,Monza,2348.4198682531714,0.16923716898174734,185,0.0,nan,1.0,0.0
20,12018516,44,2,Silverstone,17852.01746428013,0.9955285987862155,1064,1.0,106.4,0.0,0.0
