episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,1032,0,Monza,-823.0873355222866,0.005476401659794706,344,0.0,nan,1.0,0.0
2,1602,1,Melbourne,-1011.0282845993061,0.008455548747678843,534,0.0,nan,1.0,0.0
3,1728,2,Silverstone,-1122.8674476339947,0.007569481401067802,576,0.0,nan,1.0,0.0
4,2418,0,Monza,-1050.5675157005899,0.004925449477135658,462,0.0,nan,1.0,0.0
5,2604,1,Melbourne,-854.9812800046057,0.005028654669465708,334,0.0,nan,1.0,0.0
6,3507,1,Melbourne,-764.7352553270757,0.005063994399459113,301,0.0,nan,1.0,0.0
7,3918,2,Silverstone,-1176.7012194445124,0.01161819469125202,730,0.0,nan,1.0,0.0
8,4932,2,Silverstone,-920.189784408547,0.0046991060847154185,338,0.0,nan,1.0,0.0
9,5268,0,Monza,-1484.7122520238627,0.010335009960083769,950,0.0,nan,1.0,0.0
10,6096,1,Melbourne,-1432.364268104866,0.012631903123248852,863,0.0,nan,1.0,0.0
11,6885,0,Monza,-1018.0886308641639,0.0077236397625501186,539,0.0,nan,1.0,0.0
12,6951,2,Silverstone,-1122.6104071477894,0.009693957893448138,673,0.0,nan,1.0,0.0
13,8928,1,Melbourne,-1594.046102001681,0.015486588457279335,944,0.0,nan,1.0,0.0
14,9366,0,Monza,-1464.6830373508856,0.010064482919776083,827,0.0,nan,1.0,0.0
15,9513,2,Silverstone,-1383.6549364348175,0.012775485361195788,854,0.0,nan,1.0,0.0
16,10341,0,Monza,-789.2360851494595,0.004874799444846131,325,0.0,nan,1.0,0.0
17,11037,2,Silverstone,-961.7879080605344,0.0073446588702752846,508,0.0,nan,1.0,0.0
18,11658,0,Monza,-855.3745618942194,0.007768898017208825,439,0.0,nan,1.0,0.0
19,11853,1,Melbourne,-1399.4944917748217,0.01669035088988389,975,0.0,nan,1.0,0.0
20,12786,0,Monza,-801.9424978441093,0.006967504878847231,376,0.0,nan,1.0,0.0
21,13002,2,Silverstone,-1099.030513504753,0.010056546951537536,655,0.0,nan,1.0,0.0
22,14253,0,Monza,-983.0234981429967,0.008372339655806625,489,0.0,nan,1.0,0.0
23,14649,0,Monza,-576.8210340766236,0.0033457060662990265,132,0.0,nan,1.0,0.0
24,15222,2,Silverstone,-1452.0614738431177,0.011207989996164621,740,0.0,nan,1.0,0.0
25,15522,1,Melbourne,-1404.8662522987433,0.02709847731378243,1223,0.0,nan,1.0,0.0
26,15579,0,Monza,-837.0725927837193,0.003964975181167945,310,0.0,nan,1.0,0.0
27,17010,2,Silverstone,-961.962962237536,0.011912131176585345,596,0.0,nan,1.0,0.0
28,17610,1,Melbourne,-1200.8471597973257,0.01220801066439706,696,0.0,nan,1.0,0.0
29,17775,2,Silverstone,-721.6753317031544,0.004015949999402795,255,0.0,nan,1.0,0.0
30,17799,0,Monza,-1352.1076767882332,0.01118361145840554,740,0.0,nan,1.0,0.0
31,18378,1,Melbourne,-788.5887899682857,0.004917659350620713,256,0.0,nan,1.0,0.0
32,19128,0,Monza,-808.1997901609284,0.008410003040899337,443,0.0,nan,1.0,0.0
33,19689,1,Melbourne,-985.0721876358148,0.00674822971911872,437,0.0,nan,1.0,0.0
34,20097,0,Monza,-847.0084900325164,0.0034915634017392326,323,0.0,nan,1.0,0.0
35,21213,0,Monza,-805.1190932723111,0.008992062038394264,372,0.0,nan,1.0,0.0
36,21981,1,Melbourne,-1300.62787578383,0.011791812775178774,764,0.0,nan,1.0,0.0
37,22110,0,Monza,-703.0945013330784,0.0063405196716503345,299,0.0,nan,1.0,0.0
38,22236,2,Silverstone,-2180.2235128059983,0.020513220775808184,1487,0.0,nan,1.0,0.0
39,23505,1,Melbourne,-906.2593221478164,0.008741491856334736,508,0.0,nan,1.0,0.0
40,24312,0,Monza,-1370.9704254837707,0.014227883950646019,734,0.0,nan,1.0,0.0
41,24903,1,Melbourne,-909.1313382858643,0.008517750358488617,466,0.0,nan,1.0,0.0
42,24987,0,Monza,-678.1021849914396,0.00384649310771648,225,0.0,nan,1.0,0.0
43,26328,2,Silverstone,-1914.0570903021144,0.01904183279175752,1364,0.0,nan,1.0,0.0
44,27390,0,Monza,-1200.3806485548848,0.0151856913458501,801,0.0,nan,1.0,0.0
45,28893,1,Melbourne,-1606.0337689917214,0.02630713459848031,1330,0.0,nan,1.0,0.0
46,29151,1,Melbourne,-494.0263349795714,0.005428772290407986,86,0.0,nan,1.0,0.0
47,29685,2,Silverstone,-1326.5277222960722,0.024321974065408467,1119,0.0,nan,1.0,0.0
48,29820,0,Monza,-1308.553253763297,0.01685793299463483,810,0.0,nan,1.0,0.0
49,30471,2,Silverstone,-808.0164444851689,0.0037621381771467174,262,0.0,nan,1.0,0.0
50,30969,1,Melbourne,-1225.3980128727853,0.011671418101811413,606,0.0,nan,1.0,0.0
51,31089,0,Monza,-963.9633634015918,0.00717794759365017,423,0.0,nan,1.0,0.0
52,31251,2,Silverstone,-762.7562894662842,0.0047774684112109845,260,0.0,nan,1.0,0.0
53,31452,2,Silverstone,-458.58784525701776,0.004881149711152193,67,0.0,nan,1.0,0.0
54,31941,1,Melbourne,-768.7948458236642,0.005918944021222637,324,0.0,nan,1.0,0.0
55,32709,2,Silverstone,-538.0716870131437,0.021247719840851692,419,0.0,nan,1.0,0.0
56,33027,0,Monza,-747.3030430972576,0.022606801258928954,646,0.0,nan,1.0,0.0
57,33417,0,Monza,-558.1466124942526,0.004015446014591932,130,0.0,nan,1.0,0.0
58,33741,0,Monza,-529.3167885808507,0.0039269850216733645,108,0.0,nan,1.0,0.0
59,34704,2,Silverstone,-835.2761104098754,0.022137284658087276,665,0.0,nan,1.0,0.0
60,34938,1,Melbourne,-1001.7147851501941,0.028612049843486923,999,0.0,nan,1.0,0.0
61,34992,0,Monza,-734.8909680359066,0.009700350824997846,417,0.0,nan,1.0,0.0
62,35466,0,Monza,-575.6429228107445,0.004216949868337323,158,0.0,nan,1.0,0.0
63,35622,2,Silverstone,-565.6008582452778,0.011263977898132873,306,0.0,nan,1.0,0.0
64,36297,1,Melbourne,-788.9400706067681,0.01529293410895824,453,0.0,nan,1.0,0.0
65,36309,2,Silverstone,-497.9859986132942,0.011943836918107367,229,0.0,nan,1.0,0.0
66,37317,1,Melbourne,-659.0114612411708,0.010094492079615481,340,0.0,nan,1.0,0.0
67,37728,1,Melbourne,-518.2583012776449,0.006559827951266006,137,0.0,nan,1.0,0.0
68,38070,0,Monza,-738.6544097107835,0.03388126127160864,868,0.0,nan,1.0,0.0
69,38364,1,Melbourne,-687.6489480370656,0.004873841771450271,212,0.0,nan,1.0,0.0
70,38625,0,Monza,-469.98513432592154,0.010529725339158098,185,0.0,nan,1.0,0.0
71,38823,1,Melbourne,-552.0486127748154,0.005691124862223432,153,0.0,nan,1.0,0.0
72,39270,1,Melbourne,-547.3798388165887,0.006412202794944142,149,0.0,nan,1.0,0.0
73,39309,2,Silverstone,-1043.8849963255925,0.032633896519095276,1000,0.0,nan,1.0,0.0
74,39357,0,Monza,-637.97416674532,0.008287167489126213,244,0.0,nan,1.0,0.0
75,39546,2,Silverstone,-527.508270887658,0.0036736358195169016,79,0.0,nan,1.0,0.0
76,39807,1,Melbourne,-666.225502749905,0.004474311610165642,179,0.0,nan,1.0,0.0
77,39990,0,Monza,-660.1854406358907,0.004704623769241109,211,0.0,nan,1.0,0.0
78,40320,1,Melbourne,-659.790525392862,0.004386411519037978,171,0.0,nan,1.0,0.0
79,40560,2,Silverstone,-695.0193677996576,0.013192698912159212,338,0.0,nan,1.0,0.0
80,40632,1,Melbourne,-515.6900105972309,0.005441673365242606,104,0.0,nan,1.0,0.0
81,41433,1,Melbourne,-521.3531508855522,0.015277637120225762,267,0.0,nan,1.0,0.0
82,42732,2,Silverstone,-846.6023842572467,0.024449004394096436,724,0.0,nan,1.0,0.0
83,42780,0,Monza,-1018.8027651703742,0.02848389158207215,930,0.0,nan,1.0,0.0
