episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,1755,2,Silverstone,-1056.3960939117242,0.008403867030474672,585,0.0,nan,1.0,0.0
2,2631,0,Monza,-1406.2572759953327,0.01127994666029815,877,0.0,nan,1.0,0.0
3,4101,0,Monza,-1020.5594306830317,0.006466001041967615,490,0.0,nan,1.0,0.0
4,4797,0,Monza,-692.9379757380229,0.00422884024012142,232,0.0,nan,1.0,0.0
5,6222,0,Monza,-1003.7228129706345,0.006017371411532176,475,0.0,nan,1.0,0.0
6,6894,2,Silverstone,-2111.9315270072548,0.02291651183592542,1713,0.0,nan,1.0,0.0
7,7137,1,Melbourne,-2767.064147899713,0.0366841141417067,2379,0.0,nan,1.0,0.0
8,7218,0,Monza,-829.0028958519688,0.005437652540399014,332,0.0,nan,1.0,0.0
9,7575,0,Monza,-544.254002399859,0.004191988520478509,119,0.0,nan,1.0,0.0
10,8139,1,Melbourne,-730.6914934180677,0.006581022574208595,334,0.0,nan,1.0,0.0
11,8874,2,Silverstone,-1113.9882125407457,0.009899656408466498,660,0.0,nan,1.0,0.0
12,9018,0,Monza,-874.2631779704243,0.008716907450911738,481,0.0,nan,1.0,0.0
13,9642,1,Melbourne,-1045.137515467126,0.006602585799289316,501,0.0,nan,1.0,0.0
14,10443,1,Melbourne,-720.5852773252409,0.0049519739059174376,267,0.0,nan,1.0,0.0
15,10617,0,Monza,-964.1696691846009,0.009200280579042553,533,0.0,nan,1.0,0.0
16,11136,1,Melbourne,-657.22176310746,0.005087308484695962,231,0.0,nan,1.0,0.0
17,11829,1,Melbourne,-743.9027621429414,0.004174221954606831,231,0.0,nan,1.0,0.0
18,11853,2,Silverstone,-1233.227062314283,0.023305648490864764,993,0.0,nan,1.0,0.0
19,11922,0,Monza,-762.6423654152313,0.009675115408285853,435,0.0,nan,1.0,0.0
20,12666,2,Silverstone,-657.0773679625709,0.005972374656773425,271,0.0,nan,1.0,0.0
21,12834,0,Monza,-674.234091585502,0.007778232169881536,304,0.0,nan,1.0,0.0
