episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,1194,1,Melbourne,-931.3017364519183,0.005858055555529958,398,0.0,nan,1.0,0.0
2,2097,1,Melbourne,-688.9039884032682,0.006581022574208595,301,0.0,nan,1.0,0.0
3,2430,0,Monza,-1300.0789950377075,0.011859665531431312,810,0.0,nan,1.0,0.0
4,2889,2,Silverstone,-1493.0418970914325,0.011879803347263676,963,0.0,nan,1.0,0.0
5,3594,0,Monza,-850.7414978248999,0.0060177930559216835,388,0.0,nan,1.0,0.0
6,3807,1,Melbourne,-1121.6217753610108,0.008128460425353966,570,0.0,nan,1.0,0.0
7,5193,2,Silverstone,-1312.116184381186,0.012462046423343521,768,0.0,nan,1.0,0.0
8,5331,1,Melbourne,-909.4971195594408,0.010038136268340145,508,0.0,nan,1.0,0.0
9,5547,0,Monza,-1317.5972691685893,0.008469992496416444,651,0.0,nan,1.0,0.0
10,6492,0,Monza,-865.0860845283605,0.0050260432873622885,315,0.0,nan,1.0,0.0
11,6537,2,Silverstone,-909.8698083432391,0.007216467311027974,448,0.0,nan,1.0,0.0
12,6612,1,Melbourne,-972.9561163851758,0.0059682215195641574,427,0.0,nan,1.0,0.0
13,7449,2,Silverstone,-726.6434031780809,0.005737183995986787,304,0.0,nan,1.0,0.0
14,7758,1,Melbourne,-803.4721947396174,0.0075272213830892155,382,0.0,nan,1.0,0.0
15,8340,2,Silverstone,-799.0349040401634,0.00424657868299202,297,0.0,nan,1.0,0.0
16,8409,0,Monza,-1158.2343046713067,0.008260097919319864,639,0.0,nan,1.0,0.0
17,8874,1,Melbourne,-863.0048656342551,0.00518577133084447,372,0.0,nan,1.0,0.0
18,8988,0,Monza,-673.9052898674272,0.0027948276714081424,193,0.0,nan,1.0,0.0
19,9465,2,Silverstone,-793.2474047169089,0.00699869510863146,375,0.0,nan,1.0,0.0
20,11223,1,Melbourne,-1202.1831132567022,0.014859089392376883,783,0.0,nan,1.0,0.0
21,11253,0,Monza,-1305.4448546341155,0.009878147722943206,755,0.0,nan,1.0,0.0
22,11493,2,Silverstone,-1145.6917554939282,0.009663345989640497,676,0.0,nan,1.0,0.0
23,12591,1,Melbourne,-929.9168278867146,0.007727559524868158,456,0.0,nan,1.0,0.0
24,13290,0,Monza,-1121.6348925158381,0.010297947418246104,679,0.0,nan,1.0,0.0
25,13374,1,Melbourne,-732.7252411702648,0.004685762530468422,261,0.0,nan,1.0,0.0
26,13821,2,Silverstone,-1279.4553237973014,0.009777146584455967,776,0.0,nan,1.0,0.0
27,14292,1,Melbourne,-817.7244035764597,0.004716080056329779,306,0.0,nan,1.0,0.0
28,14394,0,Monza,-941.9632819935214,0.003759402459063811,368,0.0,nan,1.0,0.0
29,15114,1,Melbourne,-771.1307408971479,0.0038910793582894797,274,0.0,nan,1.0,0.0
30,16284,0,Monza,-1155.8418465981376,0.00823304943173299,630,0.0,nan,1.0,0.0
31,16428,2,Silverstone,-1452.6934620554093,0.010025401089035197,869,0.0,nan,1.0,0.0
32,16773,0,Monza,-630.4522780738771,0.0030331410803574937,163,0.0,nan,1.0,0.0
33,16824,1,Melbourne,-1195.9650076169055,0.006963723744124136,570,0.0,nan,1.0,0.0
34,17922,0,Monza,-941.0828344905749,0.0035397046499111933,383,0.0,nan,1.0,0.0
35,18246,2,Silverstone,-1094.8537030210719,0.008820883586968207,606,0.0,nan,1.0,0.0
36,18912,2,Silverstone,-692.4397861203179,0.005616125710175432,222,0.0,nan,1.0,0.0
37,19890,0,Monza,-1243.4506782586686,0.007372789466041352,656,0.0,nan,1.0,0.0
38,20343,1,Melbourne,-2343.8466864314396,0.012693275379247828,1173,0.0,nan,1.0,0.0
39,21171,0,Monza,-1053.3268804926774,0.0051652281003385465,427,0.0,nan,1.0,0.0
40,21396,1,Melbourne,-946.5497688225005,0.0043665300412124835,351,0.0,nan,1.0,0.0
41,22368,0,Monza,-1017.5193073842674,0.004283654010757329,399,0.0,nan,1.0,0.0
42,23193,2,Silverstone,-1864.3477564322866,0.02071021524569648,1427,0.0,nan,1.0,0.0
43,23223,1,Melbourne,-1199.2185494147707,0.007626447350851826,609,0.0,nan,1.0,0.0
44,24309,2,Silverstone,-981.9043345330283,0.004910722209927924,372,0.0,nan,1.0,0.0
45,25200,0,Monza,-1449.7989516360976,0.0137262114560106,944,0.0,nan,1.0,0.0
46,25317,1,Melbourne,-1213.9772626932245,0.008322160848942328,698,0.0,nan,1.0,0.0
47,26931,1,Melbourne,-1187.726475348696,0.0076636531291695235,538,0.0,nan,1.0,0.0
48,27912,2,Silverstone,-1669.447614815319,0.01545811457961463,1201,0.0,nan,1.0,0.0
49,29127,0,Monza,-1730.1411169860512,0.02343103171153722,1309,0.0,nan,1.0,0.0
50,29757,2,Silverstone,-944.6963158403523,0.012554592351671045,615,0.0,nan,1.0,0.0
51,30546,2,Silverstone,-767.268412788515,0.002933662381836496,263,0.0,nan,1.0,0.0
52,30636,0,Monza,-1052.5430114697665,0.006589405813666574,503,0.0,nan,1.0,0.0
53,31650,1,Melbourne,-2186.0405739331036,0.020293344639589584,1573,0.0,nan,1.0,0.0
54,32733,1,Melbourne,-731.807900827378,0.009651340159046293,361,0.0,nan,1.0,0.0
55,33699,1,Melbourne,-885.1452103189658,0.004815360738472268,322,0.0,nan,1.0,0.0
56,34368,0,Monza,-1490.5845663748332,0.025721319706461295,1244,0.0,nan,1.0,0.0
57,34683,1,Melbourne,-756.6837542154826,0.00949832419645425,328,0.0,nan,1.0,0.0
58,35262,0,Monza,-772.5308827329427,0.006515164777784131,298,0.0,nan,1.0,0.0
59,37062,0,Monza,-826.9165427115513,0.016974180352821906,600,0.0,nan,1.0,0.0
60,37359,0,Monza,-597.2807645201683,0.0016523400335999982,99,0.0,nan,1.0,0.0
61,38904,2,Silverstone,-3034.339142453473,0.05581628868058993,2786,0.0,nan,1.0,0.0
62,40098,2,Silverstone,-1045.7999534760602,0.005643580518399864,398,0.0,nan,1.0,0.0
63,41097,1,Melbourne,-2235.8558988117147,0.05559008640863473,2138,0.0,nan,1.0,0.0
64,41124,0,Monza,-1392.0348046330037,0.03155565528850849,1255,0.0,nan,1.0,0.0
65,41604,0,Monza,-645.9360719844699,0.005480112130422368,160,0.0,nan,1.0,0.0
66,42018,0,Monza,-642.0607071286067,0.0032680813341907896,138,0.0,nan,1.0,0.0
67,42765,0,Monza,-801.7736127239186,0.0034799998043570034,249,0.0,nan,1.0,0.0
68,43290,2,Silverstone,-1426.0283686237526,0.023668615985698947,1064,0.0,nan,1.0,0.0
69,43389,0,Monza,-719.0544394429307,0.004547729891905558,208,0.0,nan,1.0,0.0
70,43827,0,Monza,-616.8559932541102,0.0038383132065600446,146,0.0,nan,1.0,0.0
71,44217,1,Melbourne,-1768.7660382710164,0.025543851720943485,1040,0.0,nan,1.0,0.0
72,45330,0,Monza,-823.0696015802241,0.01958103895538783,501,0.0,nan,1.0,0.0
73,46287,0,Monza,-811.7349395486526,0.008848207513804216,319,0.0,nan,1.0,0.0
74,46452,1,Melbourne,-1061.2702882937738,0.019277546259798713,745,0.0,nan,1.0,0.0
75,47379,2,Silverstone,-1833.861310723063,0.04201187009877759,1363,0.0,nan,1.0,0.0
76,49005,0,Monza,-1593.1984723317437,0.019755009430498415,906,0.0,nan,1.0,0.0
77,49329,0,Monza,-602.0673847368453,0.0022845536312267813,108,0.0,nan,1.0,0.0
78,49770,0,Monza,-499.48843706957996,0.006181654606793838,147,0.0,nan,1.0,0.0
79,50241,1,Melbourne,-1845.6439042745624,0.04101675582384467,1263,0.0,nan,1.0,0.0
80,50361,0,Monza,-438.09963214956224,0.015996091862482537,197,0.0,nan,1.0,0.0
81,50799,2,Silverstone,-1351.006841162176,0.03845485500543456,1140,0.0,nan,1.0,0.0
82,52032,0,Monza,-575.2703366902424,0.02445680818232983,557,0.0,nan,1.0,0.0
