episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12006338,0,Monza,17723.0081204772,0.9959812229947309,962,1.0,96.2,0.0,0.0
2,12006700,0,Monza,5573.111654356122,0.3656592485925932,362,0.0,nan,1.0,0.0
3,12007650,0,Monza,17637.86360628158,0.9950231626128931,950,1.0,95.0,0.0,0.0
4,12008608,0,Monza,17639.989346541464,0.9952188056096244,958,1.0,95.80000000000001,0.0,0.0
5,12009566,0,Monza,17788.07954221964,0.9963223333058421,958,1.0,95.80000000000001,0.0,0.0
6,12010522,0,Monza,17615.848641760647,0.9958011808404115,956,1.0,95.60000000000001,0.0,0.0
7,12010718,0,Monza,2289.857699394226,0.17296105844210494,196,0.0,nan,1.0,0.0
8,12011675,0,Monza,17604.993297964334,0.9957881098643367,957,1.0,95.7,0.0,0.0
9,12011854,0,Monza,2239.7490620464087,0.16486356768159843,179,0.0,nan,1.0,0.0
10,12012797,0,Monza,17504.504368059337,0.9956743502080477,943,1.0,94.30000000000001,0.0,0.0
11,12013759,0,Monza,17684.86953087896,0.99572891099205,962,1.0,96.2,0.0,0.0
12,12013936,0,Monza,2249.978345900774,0.1608210837205294,177,0.0,nan,1.0,0.0
13,12014885,0,Monza,17715.88383127004,0.9962739285299267,949,1.0,94.9,0.0,0.0
14,12015831,0,Monza,17435.841850310564,0.9953921857825897,946,1.0,94.60000000000001,0.0,0.0
15,12016780,0,Monza,17551.970308862627,0.9952034577538463,949,1.0,94.9,0.0,0.0
16,12017728,0,Monza,17530.264302909374,0.9960736474449109,948,1.0,94.80000000000001,0.0,0.0
17,12017905,0,Monza,2264.840050339699,0.16443372230871553,177,0.0,nan,1.0,0.0
18,12018863,0,Monza,17646.696746900678,0.9962160789196863,958,1.0,95.80000000000001,0.0,0.0
19,12019545,0,Monza,10856.786975607276,0.6878435453074606,682,0.0,nan,1.0,0.0
20,12019723,0,Monza,2225.5232796519995,0.1635238558805984,178,0.0,nan,1.0,0.0
21,12020676,0,Monza,17674.592472314835,0.9952538864228314,953,1.0,95.30000000000001,0.0,0.0
22,12021358,0,Monza,10978.309069238603,0.6867924280088585,682,0.0,nan,1.0,0.0
23,12021504,0,Monza,1950.895488537848,0.14583167837910452,146,0.0,nan,1.0,0.0
24,12022453,0,Monza,17636.85656592995,0.9958361773247406,949,1.0,94.9,0.0,0.0
25,12023397,0,Monza,17617.25148845464,0.9959376249648559,944,1.0,94.4,0.0,0.0
26,12024347,0,Monza,17641.31242916733,0.9957934225836446,950,1.0,95.0,0.0,0.0
27,12025305,0,Monza,17799.08330848813,0.9955836966643038,958,1.0,95.80000000000001,0.0,0.0
28,12026259,0,Monza,17710.034374810755,0.9954550107966262,954,1.0,95.4,0.0,0.0
29,12027214,0,Monza,17721.76812442392,0.995423556125169,955,1.0,95.5,0.0,0.0
30,12028169,0,Monza,17828.281136758626,0.9953651162127833,955,1.0,95.5,0.0,0.0
31,12028318,0,Monza,1922.4568277522922,0.14475239523528347,149,0.0,nan,1.0,0.0
32,12029283,0,Monza,17791.753088712692,0.9960314830059602,965,1.0,96.5,0.0,0.0
33,12030227,0,Monza,17630.331257522106,0.9960060156848339,944,1.0,94.4,0.0,0.0
34,12031189,0,Monza,17659.030622512102,0.9961149685950825,962,1.0,96.2,0.0,0.0
35,12031353,0,Monza,1947.9423282146454,0.16223738722488337,164,0.0,nan,1.0,0.0
36,12032290,0,Monza,17699.216976113617,0.9960459032440814,937,1.0,93.7,0.0,0.0
37,12032470,0,Monza,2214.062984228134,0.16027762626689382,180,0.0,nan,1.0,0.0
38,12032642,0,Monza,2130.834008231759,0.1627563787628178,172,0.0,nan,1.0,0.0
39,12032813,0,Monza,2210.441909059882,0.1607749242009881,171,0.0,nan,1.0,0.0
40,12033778,0,Monza,17631.940137550235,0.9950530150356702,965,1.0,96.5,0.0,0.0
41,12034742,0,Monza,17578.109822265804,0.995755390259711,964,1.0,96.4,0.0,0.0
42,12035695,0,Monza,17672.214442797005,0.9959877163183294,953,1.0,95.30000000000001,0.0,0.0
43,12036658,0,Monza,17746.241205744445,0.9957946875168131,963,1.0,96.30000000000001,0.0,0.0
44,12037627,0,Monza,17528.991098448634,0.9961531695767719,969,1.0,96.9,0.0,0.0
45,12038604,0,Monza,17854.55286359042,0.9955366411504348,977,1.0,97.7,0.0,0.0
46,12039573,0,Monza,17670.21692635864,0.9957752918748958,969,1.0,96.9,0.0,0.0
47,12040540,0,Monza,17822.412525616586,0.9951937599328877,967,1.0,96.7,0.0,0.0
48,12041510,0,Monza,17850.865541689098,0.9950168379470505,970,1.0,97.0,0.0,0.0
49,12042487,0,Monza,17883.42925557494,0.9956568941303222,977,1.0,97.7,0.0,0.0
50,12043458,0,Monza,17795.123392172158,0.9961726495475671,971,1.0,97.10000000000001,0.0,0.0
51,12044427,0,Monza,17622.770593732595,0.9959548280559478,969,1.0,96.9,0.0,0.0
52,12044606,0,Monza,2195.3816396668553,0.16021310413418952,179,0.0,nan,1.0,0.0
53,12045574,0,Monza,17630.121649205685,0.9952306116525306,968,1.0,96.80000000000001,0.0,0.0
54,12046534,0,Monza,17779.387078776956,0.9957606186501409,960,1.0,96.0,0.0,0.0
55,12047497,0,Monza,17690.493312999606,0.9956968660184474,963,1.0,96.30000000000001,0.0,0.0
56,12048482,0,Monza,17730.669595360756,0.9951413073708331,985,1.0,98.5,0.0,0.0
57,12049441,0,Monza,17823.480342447758,0.9954637809999279,959,1.0,95.9,0.0,0.0
58,12049613,0,Monza,2170.263379983604,0.16236506114602609,172,0.0,nan,1.0,0.0
59,12049993,0,Monza,5735.187053248286,0.3737326423762394,380,0.0,nan,1.0,0.0
60,12050963,0,Monza,17838.622118256986,0.9957070698126735,970,1.0,97.0,0.0,0.0
61,12051938,0,Monza,17859.06619975716,0.9955301478268364,975,1.0,97.5,0.0,0.0
62,12052918,0,Monza,17899.320691093802,0.9960734787871551,980,1.0,98.0,0.0,0.0
63,12053092,0,Monza,2175.4824001267552,0.1615381110871055,174,0.0,nan,1.0,0.0
64,12054069,0,Monza,17803.127990953624,0.9953055800249849,977,1.0,97.7,0.0,0.0
65,12054248,0,Monza,2164.894214503467,0.16091611182481452,179,0.0,nan,1.0,0.0
66,12055216,0,Monza,17951.300176277757,0.9961521576302371,968,1.0,96.80000000000001,0.0,0.0
