episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12008226,42,0,Monza,17623.79240015894,0.9962316955737627,950,1.0,95.0,0.0,0.0
2,12008316,42,1,Melbourne,16147.706931903958,0.9954044528428394,980,1.0,98.0,0.0,0.0
3,12008493,42,2,Silverstone,17921.215654931962,0.9959093994646395,1039,1.0,103.9,0.0,0.0
4,12009336,42,0,Monza,6078.544394418597,0.39210292946715786,370,0.0,nan,1.0,0.0
5,12011301,42,1,Melbourne,16244.763444192708,0.9952193224189626,995,1.0,99.5,0.0,0.0
6,12011670,42,2,Silverstone,17599.875428050756,0.9954443784662732,1059,1.0,105.9,0.0,0.0
7,12012132,42,0,Monza,17722.751408167183,0.9963866762396809,932,1.0,93.2,0.0,0.0
8,12014346,42,1,Melbourne,16294.42874161899,0.9955694944501879,1015,1.0,101.5,0.0,0.0
9,12014856,42,2,Silverstone,17936.90211790055,0.9954908587930369,1062,1.0,106.2,0.0,0.0
10,12014937,42,0,Monza,17409.98419546336,0.9953682785457046,935,1.0,93.5,0.0,0.0
11,12017382,42,1,Melbourne,16265.887111239135,0.9951964748458069,1012,1.0,101.2,0.0,0.0
12,12017757,42,0,Monza,17577.19304342568,0.9954622209156868,940,1.0,94.0,0.0,0.0
13,12018081,42,2,Silverstone,18034.583150088787,0.9962195931778036,1075,1.0,107.5,0.0,0.0
14,12018441,42,1,Melbourne,4264.274265907705,0.31112766544269255,353,0.0,nan,1.0,0.0
15,12020598,42,0,Monza,17464.63393174857,0.9960287844818674,947,1.0,94.7,0.0,0.0
16,12021273,42,2,Silverstone,17990.031976908445,0.9953028223874635,1064,1.0,106.4,0.0,0.0
17,12021447,42,1,Melbourne,16198.947975091636,0.9963356210356265,1002,1.0,100.2,0.0,0.0
18,12023439,42,0,Monza,17372.17930737883,0.9958181520270891,947,1.0,94.7,0.0,0.0
19,12024444,42,2,Silverstone,17804.605103895068,0.9956389571618729,1057,1.0,105.7,0.0,0.0
20,12024471,42,1,Melbourne,16263.695383965969,0.9956102019488179,1008,1.0,100.80000000000001,0.0,0.0
21,12026229,42,0,Monza,17656.254352219403,0.9951413073708331,930,1.0,93.0,0.0,0.0
22,12027459,42,1,Melbourne,16108.595265194774,0.9958805025042369,996,1.0,99.60000000000001,0.0,0.0
23,12027588,42,2,Silverstone,17870.379038270563,0.9955873342426321,1048,1.0,104.80000000000001,0.0,0.0
24,12028821,42,0,Monza,15350.843198694289,0.9465275012493324,864,0.0,nan,1.0,0.0
25,12030459,42,1,Melbourne,16308.719228766859,0.9957034352521317,1000,1.0,100.0,0.0,0.0
26,12030663,42,0,Monza,9446.595763638616,0.5930399034130764,614,0.0,nan,1.0,0.0
27,12030729,42,2,Silverstone,17909.21541649103,0.9955618597472367,1047,1.0,104.7,0.0,0.0
28,12032376,42,0,Monza,9856.045262224972,0.6361596409748621,571,0.0,nan,1.0,0.0
29,12033444,42,1,Melbourne,16121.285258099437,0.9955960338041335,995,1.0,99.5,0.0,0.0
30,12033855,42,2,Silverstone,17829.314404569566,0.9953232683398119,1042,1.0,104.2,0.0,0.0
31,12035199,42,0,Monza,17603.617877207696,0.9961467605820514,941,1.0,94.10000000000001,0.0,0.0
32,12035532,42,0,Monza,1139.8640393316746,0.09702905989998258,111,0.0,nan,1.0,0.0
33,12036447,42,1,Melbourne,16288.782393604517,0.9950369565111218,1001,1.0,100.10000000000001,0.0,0.0
34,12036567,42,0,Monza,5896.315611228347,0.38383634876534933,345,0.0,nan,1.0,0.0
35,12036978,42,2,Silverstone,17895.395772196352,0.9953347562278454,1041,1.0,104.10000000000001,0.0,0.0
36,12037695,42,0,Monza,6640.874732635915,0.4281790975022292,376,0.0,nan,1.0,0.0
37,12039393,42,1,Melbourne,16294.566345885396,0.9950586809996379,982,1.0,98.2,0.0,0.0
38,12040113,42,2,Silverstone,17988.55183698237,0.9957152251261097,1045,1.0,104.5,0.0,0.0
39,12040545,42,0,Monza,17717.15145405382,0.9954726355321076,950,1.0,95.0,0.0,0.0
40,12040824,42,0,Monza,733.5473102107644,0.0722822868709888,93,0.0,nan,1.0,0.0
41,12041028,42,0,Monza,49.18248251080513,0.03306106279347504,68,0.0,nan,1.0,0.0
42,12042339,42,1,Melbourne,16276.469003364444,0.9950573217792535,982,1.0,98.2,0.0,0.0
43,12042573,42,0,Monza,8389.290680035949,0.537808009118313,515,0.0,nan,1.0,0.0
44,12043266,42,2,Silverstone,17791.417419716716,0.9951080674336539,1051,1.0,105.10000000000001,0.0,0.0
45,12044541,42,0,Monza,11492.4458180964,0.7116362214118779,656,0.0,nan,1.0,0.0
46,12045312,42,1,Melbourne,16220.135166168213,0.9960393239505044,991,1.0,99.10000000000001,0.0,0.0
47,12046479,42,2,Silverstone,18102.10785457492,0.9961132044999177,1071,1.0,107.10000000000001,0.0,0.0
